"task","task_is","weight","hierarchy_belongs","source","Description"
"SemEval 2015 Task 13","Word Sense Disambiguation","1","Natural Language Processing","paperswithcode","The task of Word Sense Disambiguation (WSD) consists of associating words in context with their most suitable entry in a pre-defined sense inventory. The de-facto sense inventory for English in WSD is [WordNet](https:wordnet.princeton.edu).
For example, given the word “mouse” and the following sentence:

“A mouse consists of an object held in ones hand, with one or more buttons.” 

we would assign “mouse”  with its electronic device sense ([the 4th sense in the WordNet sense inventory](http:wordnetweb.princ"
"SemEval 2007 Task 7","Word Sense Disambiguation","1","Natural Language Processing","paperswithcode","The task of Word Sense Disambiguation (WSD) consists of associating words in context with their most suitable entry in a pre-defined sense inventory. The de-facto sense inventory for English in WSD is [WordNet](https:wordnet.princeton.edu).
For example, given the word “mouse” and the following sentence:

“A mouse consists of an object held in ones hand, with one or more buttons.” 

we would assign “mouse”  with its electronic device sense ([the 4th sense in the WordNet sense inventory](http:wordnetweb.princ"
"SWAG","Common Sense Reasoning","1","Reasoning","paperswithcode","Common sense reasoning tasks are intended to require the model to go beyond pattern 
recognition. Instead, the model should use common sense or world knowledge
to make inferences."
"Winograd Schema Challenge","Common Sense Reasoning","1","Reasoning","paperswithcode","Common sense reasoning tasks are intended to require the model to go beyond pattern 
recognition. Instead, the model should use common sense or world knowledge
to make inferences."
"Event2Mind","Common Sense Reasoning","1","Reasoning","paperswithcode","Common sense reasoning tasks are intended to require the model to go beyond pattern 
recognition. Instead, the model should use common sense or world knowledge
to make inferences."
"ShanghaiTech A","Crowd Counting","1","Computer Vision","paperswithcode",""
"UCF CC 50","Crowd Counting","1","Computer Vision","paperswithcode",""
"ShanghaiTech B","Crowd Counting","1","Computer Vision","paperswithcode",""
"Google Dataset","Sentence Compression","1","Methodology","paperswithcode","Sentence compression produces a shorter sentence by removing redundant information,
preserving the grammatically and the important content of the original sentence."
"Noun Phrase Canonicalization","Open Knowledge Graph Canonicalization","1","Knowledge Base","paperswithcode","Open Information Extraction approaches leads to creation of large Knowledge bases (KB) from the web. The problem with such methods is that their entities and relations are not canonicalized, which leads to storage of redundant and ambiguous facts. For example, an Open KB storing *\<Barack Obama, was born in, Honolulu\>* and *\<Obama, took birth in, Honolulu\>* doesnt know that *Barack Obama* and *Obama* mean the same entity. Similarly, *took birth in* and *was born in* also refer to the same relation. Probl"
"WikiBio","Table-to-text Generation","1","Natural Language Processing","paperswithcode",""
"RotoWire (Content Ordering)","Data-to-Text Generation","1","Natural Language Processing","paperswithcode","Data-to-text generation is the task of generating text from a data source."
"Rotowire (Content Selection)","Data-to-Text Generation","1","Natural Language Processing","paperswithcode","Data-to-text generation is the task of generating text from a data source."
"WebNLG","Data-to-Text Generation","1","Natural Language Processing","paperswithcode","Data-to-text generation is the task of generating text from a data source."
"SR11Deep","Data-to-Text Generation","1","Natural Language Processing","paperswithcode","Data-to-text generation is the task of generating text from a data source."
"RotoWire (Relation Generation)","Data-to-Text Generation","1","Natural Language Processing","paperswithcode","Data-to-text generation is the task of generating text from a data source."
"RotoWire","Data-to-Text Generation","1","Natural Language Processing","paperswithcode","Data-to-text generation is the task of generating text from a data source."
"Ubuntu Dialogue (Tense)","Dialogue Generation","1","Natural Language Processing","paperswithcode",""
"Ubuntu Dialogue (Cmd)","Dialogue Generation","1","Natural Language Processing","paperswithcode",""
"Twitter Dialogue (Noun)","Dialogue Generation","1","Natural Language Processing","paperswithcode",""
"Ubuntu Dialogue (Entity)","Dialogue Generation","1","Natural Language Processing","paperswithcode",""
"Twitter Dialogue (Tense)","Dialogue Generation","1","Natural Language Processing","paperswithcode",""
"Ubuntu Dialogue (Activity)","Dialogue Generation","1","Natural Language Processing","paperswithcode",""
"COCO Captions","Text Generation","1","Natural Language Processing","paperswithcode","Text generation is the task of generating text with the goal of appearing indistinguishable to human-written text."
"Chinese Poems","Text Generation","1","Natural Language Processing","paperswithcode","Text generation is the task of generating text with the goal of appearing indistinguishable to human-written text."
"Yahoo Questions","Text Generation","1","Natural Language Processing","paperswithcode","Text generation is the task of generating text with the goal of appearing indistinguishable to human-written text."
"DailyDialog","Text Generation","1","Natural Language Processing","paperswithcode","Text generation is the task of generating text with the goal of appearing indistinguishable to human-written text."
"LDC2016E25","Text Generation","1","Natural Language Processing","paperswithcode","Text generation is the task of generating text with the goal of appearing indistinguishable to human-written text."
"CMU-SE","Text Generation","1","Natural Language Processing","paperswithcode","Text generation is the task of generating text with the goal of appearing indistinguishable to human-written text."
"EMNLP2017 WMT","Text Generation","1","Natural Language Processing","paperswithcode","Text generation is the task of generating text with the goal of appearing indistinguishable to human-written text."
"XNLI Zero-Shot English-to-French","Cross-Lingual Natural Language Inference","1","Natural Language Processing","paperswithcode",""
"XNLI Zero-Shot English-to-Spanish","Cross-Lingual Natural Language Inference","1","Natural Language Processing","paperswithcode",""
"XNLI Zero-Shot English-to-German","Cross-Lingual Natural Language Inference","1","Natural Language Processing","paperswithcode",""
"SciTail","Natural Language Inference","1","Natural Language Processing","paperswithcode","Natural language inference is the task of determining whether a hypothesis is 
true (entailment), false (contradiction), or undetermined (neutral) given a premise.

Example:

| Premise | Label | Hypothesis |
| --- | ---| --- |
| A man inspects the uniform of a figure in some East Asian country. | contradiction | The man is sleeping. |
| An older and younger man smiling. | neutral  | Two men are smiling and laughing at the cats playing on the floor. |
| A soccer game with multiple males playing. | e"
"MultiNLI","Natural Language Inference","1","Natural Language Processing","paperswithcode","Natural language inference is the task of determining whether a hypothesis is 
true (entailment), false (contradiction), or undetermined (neutral) given a premise.

Example:

| Premise | Label | Hypothesis |
| --- | ---| --- |
| A man inspects the uniform of a figure in some East Asian country. | contradiction | The man is sleeping. |
| An older and younger man smiling. | neutral  | Two men are smiling and laughing at the cats playing on the floor. |
| A soccer game with multiple males playing. | e"
